time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-01 00:00:00+00:00,7,2,0,0
2026-08-02 00:00:00+00:00,8,4,1,1
2026-08-03 00:00:00+00:00,2,2,0,0
2026-08-04 00:00:00+00:00,5,5,1,1
2026-08-05 00:00:00+00:00,4,4,0,0
2026-08-06 00:00:00+00:00,1,1,0,0
2026-08-07 00:00:00+00:00,16,6,0,0
2026-08-08 00:00:00+00:00,13,7,0,0
2026-08-09 00:00:00+00:00,2,2,0,0
2026-08-10 00:00:00+00:00,1,1,0,0
2026-08-11 00:00:00+00:00,9,4,2,2
2026-08-12 00:00:00+00:00,14,5,1,1
2026-08-13 00:00:00+00:00,162,9,0,0
2026-08-14 00:00:00+00:00,11,6,0,0
