time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-16 00:00:00+00:00,71,5,0,0
2026-05-17 00:00:00+00:00,28,7,12,1
2026-05-18 00:00:00+00:00,14,5,1,1
2026-05-19 00:00:00+00:00,26,9,0,0
2026-05-20 00:00:00+00:00,18,5,4,1
2026-05-21 00:00:00+00:00,27,9,0,0
2026-05-22 00:00:00+00:00,3,3,0,0
2026-05-23 00:00:00+00:00,14,4,0,0
2026-05-24 00:00:00+00:00,22,11,0,0
2026-05-25 00:00:00+00:00,10,6,1,1
2026-05-26 00:00:00+00:00,12,6,1,1
2026-05-27 00:00:00+00:00,15,10,0,0
2026-05-28 00:00:00+00:00,14,5,1,1
2026-05-29 00:00:00+00:00,13,7,9,3
