time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-07 00:00:00+00:00,7.0,4.0,8,2
2025-03-08 00:00:00+00:00,8.0,5.0,58,2
2025-03-09 00:00:00+00:00,6.0,3.0,6,1
2025-03-10 00:00:00+00:00,12.0,6.0,19,3
2025-03-11 00:00:00+00:00,3.0,3.0,15,4
2025-03-12 00:00:00+00:00,1.0,1.0,3,3
2025-03-13 00:00:00+00:00,6.0,4.0,5,2
2025-03-14 00:00:00+00:00,2.0,2.0,5,5
2025-03-15 00:00:00+00:00,4.0,3.0,1,1
2025-03-16 00:00:00+00:00,1.0,1.0,1,1
2025-03-17 00:00:00+00:00,5.0,3.0,2,2
2025-03-18 00:00:00+00:00,6.0,3.0,12,3
2025-03-19 00:00:00+00:00,1.0,1.0,2,2
2025-03-20 00:00:00+00:00,,,1,1
