time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-09 00:00:00+00:00,24,11,3.0,1.0
2025-12-10 00:00:00+00:00,7,6,,
2025-12-11 00:00:00+00:00,7,3,3.0,2.0
2025-12-12 00:00:00+00:00,14,6,,
2025-12-13 00:00:00+00:00,4,3,,
2025-12-14 00:00:00+00:00,9,5,,
2025-12-15 00:00:00+00:00,3,3,2.0,1.0
2025-12-16 00:00:00+00:00,7,3,1.0,1.0
2025-12-17 00:00:00+00:00,9,5,4.0,4.0
2025-12-18 00:00:00+00:00,7,3,1.0,1.0
2025-12-19 00:00:00+00:00,7,3,3.0,3.0
2025-12-20 00:00:00+00:00,2,2,1.0,1.0
2025-12-21 00:00:00+00:00,7,3,2.0,2.0
