time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-12 00:00:00+00:00,1.0,1.0,6.0,4.0
2024-03-13 00:00:00+00:00,1.0,1.0,11.0,3.0
2024-03-14 00:00:00+00:00,8.0,2.0,7.0,4.0
2024-03-15 00:00:00+00:00,2.0,2.0,85.0,8.0
2024-03-16 00:00:00+00:00,1.0,1.0,17.0,5.0
2024-03-17 00:00:00+00:00,2.0,2.0,20.0,2.0
2024-03-18 00:00:00+00:00,2.0,2.0,11.0,7.0
2024-03-19 00:00:00+00:00,1.0,1.0,101.0,8.0
2024-03-20 00:00:00+00:00,1.0,1.0,28.0,8.0
2024-03-21 00:00:00+00:00,4.0,4.0,16.0,5.0
2024-03-22 00:00:00+00:00,2.0,2.0,4.0,4.0
2024-03-23 00:00:00+00:00,1.0,1.0,,
2024-03-24 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-03-25 00:00:00+00:00,,,33.0,3.0
