time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-26 00:00:00+00:00,1.0,1.0,2,1
2025-01-29 00:00:00+00:00,2.0,1.0,4,1
2025-01-30 00:00:00+00:00,11.0,6.0,8,3
2025-01-31 00:00:00+00:00,5.0,2.0,2,1
2025-02-01 00:00:00+00:00,5.0,3.0,2,2
2025-02-02 00:00:00+00:00,6.0,5.0,15,2
2025-02-03 00:00:00+00:00,4.0,4.0,10,2
2025-02-04 00:00:00+00:00,7.0,4.0,16,6
2025-02-05 00:00:00+00:00,5.0,3.0,17,11
2025-02-06 00:00:00+00:00,4.0,2.0,9,3
2025-02-07 00:00:00+00:00,3.0,2.0,8,4
2025-02-08 00:00:00+00:00,,,3,1
