time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-28 00:00:00+00:00,1,1,2.0,2.0
2022-11-29 00:00:00+00:00,1,1,,
2022-11-30 00:00:00+00:00,2,2,,
2022-12-01 00:00:00+00:00,1,1,,
2022-12-02 00:00:00+00:00,2,2,1.0,1.0
2022-12-03 00:00:00+00:00,1,1,,
2022-12-04 00:00:00+00:00,1,1,,
2022-12-05 00:00:00+00:00,1,1,,
2022-12-06 00:00:00+00:00,5,4,,
2022-12-07 00:00:00+00:00,4,3,,
2022-12-08 00:00:00+00:00,1,1,,
2022-12-09 00:00:00+00:00,1,1,,
2022-12-10 00:00:00+00:00,1,1,,
2022-12-11 00:00:00+00:00,1,1,,
