time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-16 00:00:00+00:00,7,3,1,1
2025-12-17 00:00:00+00:00,9,5,4,4
2025-12-18 00:00:00+00:00,7,3,1,1
2025-12-19 00:00:00+00:00,7,3,3,3
2025-12-20 00:00:00+00:00,2,2,1,1
2025-12-21 00:00:00+00:00,7,3,2,2
2025-12-22 00:00:00+00:00,7,3,0,0
2025-12-23 00:00:00+00:00,3,3,5,1
2025-12-24 00:00:00+00:00,9,3,1,1
2025-12-25 00:00:00+00:00,5,3,0,0
2025-12-26 00:00:00+00:00,4,2,0,0
2025-12-27 00:00:00+00:00,11,5,0,0
2025-12-28 00:00:00+00:00,14,4,0,0
2025-12-29 00:00:00+00:00,8,4,0,0
