time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-21 00:00:00+00:00,1,1,,
2022-08-22 00:00:00+00:00,7,7,2.0,2.0
2022-08-23 00:00:00+00:00,2,2,,
2022-08-24 00:00:00+00:00,3,3,24.0,3.0
2022-08-25 00:00:00+00:00,1,1,12.0,3.0
2022-08-26 00:00:00+00:00,1,1,14.0,6.0
2022-08-27 00:00:00+00:00,2,2,3.0,1.0
2022-08-28 00:00:00+00:00,3,3,1.0,1.0
2022-08-29 00:00:00+00:00,3,3,4.0,2.0
2022-08-30 00:00:00+00:00,6,6,8.0,3.0
2022-08-31 00:00:00+00:00,7,7,37.0,5.0
2022-09-01 00:00:00+00:00,2,2,40.0,3.0
2022-09-02 00:00:00+00:00,3,3,,
2022-09-03 00:00:00+00:00,3,3,1.0,1.0
