time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-31 00:00:00+00:00,3,3,,
2022-08-01 00:00:00+00:00,2,2,6.0,2.0
2022-08-02 00:00:00+00:00,3,3,,
2022-08-03 00:00:00+00:00,4,4,16.0,2.0
2022-08-04 00:00:00+00:00,3,3,4.0,2.0
2022-08-05 00:00:00+00:00,2,2,6.0,3.0
2022-08-06 00:00:00+00:00,2,2,,
2022-08-07 00:00:00+00:00,4,4,,
2022-08-08 00:00:00+00:00,2,2,4.0,2.0
2022-08-09 00:00:00+00:00,2,2,6.0,2.0
2022-08-10 00:00:00+00:00,3,3,1.0,1.0
2022-08-11 00:00:00+00:00,3,3,16.0,5.0
2022-08-12 00:00:00+00:00,1,1,1.0,1.0
2022-08-13 00:00:00+00:00,1,1,12.0,1.0
